Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
guided,plague,a swarm of insects that attack plants,any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,0,1,1,5.8,2.14,510,4.41,4.15,2.42,0.1649346254,0.2060324906
guided,plague,any large scale calamity (especially when thought to be sent by God),any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,0,0,0,1.6,4.75,461.78,5.61,2.6,3.52,0.08950426802,0.138030698
guided,plague,an annoyance,any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,0,0,0,7,0.3,570,6.41,2.14,2.64,0.2602231801,0.2037993968
guided,plague,cause to suffer a blight,any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,1,1,0,3.25,3.96,495.67,4.16,2.51,2.75,0.3076234857,0.3220350991
guided,plague,annoy continually or chronically,any serious disease that spreads quickly to a lot of people and usually ends in death,DOI:10.2478/exell-2020-0009,1,0,0,2.5,7.29,446,4.82,1.99,3.13,0.1294810039,0.1377078096
guided,locust,migratory grasshoppers of warm regions having short antennae,"a type of grasshopper that flies over wide areas in very large groups called swarms, often destroying crops",DOI:10.2478/exell-2020-0010,0,1,1,3.29,0.53,445.5,5.87,3.27,3.2,0.1427926351,0.1800225135
guided,locust,hardwood from any of various locust trees,"a type of grasshopper that flies over wide areas in very large groups called swarms, often destroying crops",DOI:10.2478/exell-2020-0010,1,1,1,2.5,8.5,548,5.22,4.14,3.12,0.1218687038,0.2105040203
guided,locust,any of various hardwood trees of the family Leguminosae,"a type of grasshopper that flies over wide areas in very large groups called swarms, often destroying crops",DOI:10.2478/exell-2020-0010,0,1,1,3.83,0.27,544,5,4,2.66,0.08745503915,0.1585597898
guided,horde,a vast multitude,"a large (moving) group of animals, typically one considered as dangerous or destructive.",https://doi.org/10.5539/ijel.v13n4p1,0,0,1,5,5.25,611.5,3,2.26,3.05,0.3390651643,0.262159355
guided,horde,a nomadic community,"a large (moving) group of animals, typically one considered as dangerous or destructive.",https://doi.org/10.5539/ijel.v13n4p1,0,0,1,5.33,0.3,548,3.3,2.96,2.19,0.2076461315,0.1017770963
guided,horde,a moving crowd,"a large (moving) group of animals, typically one considered as dangerous or destructive.",https://doi.org/10.5539/ijel.v13n4p1,0,1,1,4.33,0.6,527,5.06,4.17,2.3,0.287272064,0.1878074743
guided,underground,a secret group organized to overthrow a government or occupation force,below the surface of the ground,DOI:10.1007/978-94-024-0881-2_39,0,0,0,6.2,0.51,497.43,5.51,2.98,2.73,0.06682412845,0.1351016073
guided,underground,an electric railway operating below the surface of the ground (usually in a city),below the surface of the ground,DOI:10.1007/978-94-024-0881-2_39,0,1,1,4.27,2.04,503.78,5.85,3.93,3.77,0.2174422352,0.2159001146
guided,underground,under the level of the ground,below the surface of the ground,DOI:10.1007/978-94-024-0881-2_39,1,1,1,1,,467.5,6.06,3.82,3.47,0.238016434,0.1314712092
guided,underground,conducted with or marked by hidden aims or methods,below the surface of the ground,DOI:10.1007/978-94-024-0881-2_39,1,0,0,4.5,,416.8,3.83,3.15,2.87,0.1022666428,0.1161960775
guided,underground,in or into hiding or secret operation,below the surface of the ground,DOI:10.1007/978-94-024-0881-2_39,0,0,0,5.17,,510.67,5.55,2.82,2.52,0.2206149921,0.255971988
guided,underground,beneath the surface of the earth,below the surface of the ground,DOI:10.1007/978-94-024-0881-2_39,1,1,1,1.67,,487.67,5.52,4.06,2.96,0.3033110599,0.2959444622
guided,designed,make or work out a plan for; devise,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,0,0,3.29,3.97,491.4,4.69,2.89,3.61,0.2416581325,0.162854651
guided,designed,plan something for a specific role or purpose or effect,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,0,0,6.5,0,436.5,4.8,2.15,3.15,0.1905366283,0.1489378878
guided,designed,create the design for; create or execute in an artistic or highly skilled manner,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,1,1,2.75,2.12,532.44,4.22,2.4,3.37,0.2395488461,0.1893724077
guided,designed,"make a design of; plan out in systematic, often graphic form",to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,1,1,2.9,6.22,500,4.48,2.88,3.18,0.2395042585,0.1541430791
guided,designed,create designs,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,0,1,1,4.6,487.5,4.9,2.94,2.91,0.4478363991,0.3780296445
guided,designed,conceive or fashion in the mind; invent,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,0,1,3.67,1.75,542.4,3.98,2.66,3.88,0.193026511,0.1282417867
guided,designed,intend or have as a purpose,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,0,0,6,3.29,495,3.67,1.62,1.77,0.349247396,0.314408198
guided,designed,done or made or performed with purpose and intent; - Havelock Ellis,to make a drawing or plan of something that will be made or built. This is about an act,DOI:10.1007/978-94-024-0881-2_40,0,0,0,4.44,,526.89,4.01,1.89,3.02,0.2911432952,0.1488999617
guided,attract,direct toward itself or oneself by means of some psychological power or physical attributes,To make something move near someone or something (MM3),DOI:10.1007/978-94-024-0881-2_41,0,0,0,3.2,0,486.86,4.21,2.54,3.04,0.04677874956,0.07781999255
guided,attract,be attractive to,To make something move near someone or something (MM3),DOI:10.1007/978-94-024-0881-2_41,0,0,0,0,0,507,2.64,2.64,3.3,0.4865902066,0.4301510453
guided,attract,exert a force on (a body) causing it to approach or prevent it from moving away,To make something move near someone or something (MM3),DOI:10.1007/978-94-024-0881-2_41,0,1,1,4,0.73,469,5.7,2.86,3.16,0.1165487273,0.1410822351
guided,month,one of the twelve divisions of the calendar year,"one of the 12 periods that a year is divided into, such as January, February etc",uk.bl.ethos.589185,0,1,1,5,1.92,529,5.78,3.65,2.79,0.3299480662,0.3300140232
guided,month,a time unit of approximately 30 days,"one of the 12 periods that a year is divided into, such as January, February etc",uk.bl.ethos.589185,0,1,1,4.33,2.79,541.8,3.96,3.32,2.89,0.3199085742,0.3343775384
guided,fret,agitation resulting from active worry,to worry about something continuously,uk.bl.ethos.589186,0,0,0,4,1.87,368,4.58,2.58,2.77,0.2095179029,0.2386031039
guided,fret,a spot that has been worn away by abrasion or erosion,to worry about something continuously,uk.bl.ethos.589186,0,1,1,3.6,0.72,426,4.71,3.7,2.71,0.09105180576,0.1046838611
guided,fret,an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief),to worry about something continuously,uk.bl.ethos.589186,1,1,1,4,1.16,455.64,5.15,3.26,3.5,0.007115757507,0.07088948812
guided,fret,a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch,to worry about something continuously,uk.bl.ethos.589186,1,1,1,5.32,1.23,477.06,4.86,4.04,2.96,0.09870382489,0.126935114
guided,fret,worry unnecessarily or excessively,to worry about something continuously,uk.bl.ethos.589186,0,0,0,2.75,0,472.33,6.11,2.07,2.42,0.2951807007,0.3558848252
guided,fret,be agitated or irritated,to worry about something continuously,uk.bl.ethos.589186,0,0,0,4.25,0,535,4.24,2.57,2.22,0.2704570591,0.1799759939
guided,fret,provide (a musical instrument) with frets,to worry about something continuously,uk.bl.ethos.589186,0,1,1,6.2,9.24,523.67,5.2,3.34,3.69,0.07363381243,0.1015570238
guided,fret,become or make sore by or as if by rubbing,to worry about something continuously,uk.bl.ethos.589186,0,1,1,3.67,3.39,462,5.04,2.8,3.36,0.1238065986,0.1859121583
guided,fret,cause annoyance in,to worry about something continuously,uk.bl.ethos.589186,0,0,0,4,0,501.5,4.85,2.28,2.18,0.1830659881,0.2039031386
guided,fret,gnaw into; make resentful or angry,to worry about something continuously,uk.bl.ethos.589186,0,0,,3,0,532.6,4.26,2.84,4.21,0.2270788131,0.2722949535
guided,fret,carve a pattern into,to worry about something continuously,uk.bl.ethos.589186,0,1,1,5,3.23,370.5,4.32,3.8,2.04,0.07544496143,0.1087089516
guided,fret,decorate with an interlaced design,to worry about something continuously,uk.bl.ethos.589186,0,1,1,3.5,0,440.33,4.68,3.25,2.68,0.04234994824,0.08266685282
guided,fret,be too tight; rub or press,to worry about something continuously,uk.bl.ethos.589186,1,1,1,2.33,0,451.5,3.74,4.03,3.73,0.1285933902,0.1554972362
guided,fret,cause friction,to worry about something continuously,uk.bl.ethos.589186,0,1,1,4.5,0,482,4.7,2.72,2.86,0.1600103527,0.1856710315
guided,fret,remove soil or rock,to worry about something continuously,uk.bl.ethos.589186,0,1,1,4.25,0,502.67,6.37,4.31,2.29,0.04969730228,0.07617096727
guided,fret,wear away or erode,to worry about something continuously,uk.bl.ethos.589186,0,1,1,3,0,326,4.06,3.03,2.91,0.153553122,0.2256130824
guided,speed,distance travelled per unit time,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,,1,1,1.5,0,546.8,4.6,2.96,3.45,0.1675192442,0.1968415454
guided,speed,a rate (usually rapid) at which something happens,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,,0,0,3.17,0.6,490.57,4.89,2.36,3.31,0.1882873503,0.1794853121
guided,speed,changing location rapidly,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,,1,1,2.33,2.33,469.33,3.94,2.75,2.71,0.21386417,0.1617879669
guided,speed,the ratio of the focal length to the diameter of a (camera) lens system,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,0,1,1,5.75,1.32,487,5.44,3.62,3.08,0.1418673268,0.1660813913
guided,speed,a central nervous system stimulant that increases energy and decreases appetite; used to treat narcolepsy and some forms of depression,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,1,1,1,5,1.44,480.29,4.93,2.92,3.45,0.04426838998,0.08142470182
guided,speed,move fast,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,0,1,1,0,0,482.5,3.38,3.28,2.73,0.3888901621,0.3138881549
guided,speed,move faster,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,0,1,1,0,0,549,4.83,3,3,0.3848686367,0.3002928123
guided,speed,move very fast,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,0,1,1,0,0,482.5,3.38,3.28,2.73,0.3888901621,0.3138881549
guided,speed,travel at an excessive or illegal velocity,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,1,1,1,4.29,3.7,545.75,5.02,2.64,2.7,0.2790504918,0.233114507
guided,speed,cause to move faster,[uncountable and countable] the rate at which something moves or travels,uk.bl.ethos.589187,0,1,1,0,0,510.33,4.32,2.81,2.58,0.2779431716,0.2321215893
guided,economy,the system of production and distribution and consumption,"[countable] the system by which a country.s trade, industry, and money are organized",uk.bl.ethos.589188,0,1,0,8.5,0.45,555,3.99,3,2.72,0.167465678,0.1818860564
guided,economy,the efficient use of resources,"[countable] the system by which a country.s trade, industry, and money are organized",uk.bl.ethos.589188,0,0,0,5.67,0.6,519.5,4.57,2.3,3.7,0.142740113,0.1071656762
guided,economy,frugality in the expenditure of money or resources,"[countable] the system by which a country.s trade, industry, and money are organized",uk.bl.ethos.589188,0,1,0,6,3.02,485.33,4.8,3.17,3.64,0.2573252618,0.2166259773
guided,economy,an act of economizing; reduction in cost,"[countable] the system by which a country.s trade, industry, and money are organized",uk.bl.ethos.589188,1,1,1,5,0.45,534.2,4.2,2.57,3.54,0.2047632814,0.1735653654
guided,hurtling,move with or as if with a rushing sound,"to move very quickly, especially in an uncontrolled way",uk.bl.ethos.589189,0,1,,4.67,0,480.67,4.79,3.28,2.67,0.2095201683,0.1723180115
guided,hurtling,make a thrusting forward movement,"to move very quickly, especially in an uncontrolled way",uk.bl.ethos.589189,1,1,1,4.4,5.21,463.5,6.01,3.02,2.45,0.1889309156,0.1528850429
guided,hurtling,throw forcefully,"to move very quickly, especially in an uncontrolled way",uk.bl.ethos.589189,0,1,1,1.5,3.12,397,5.83,3.36,3.17,0.2302342802,0.1619132981
guided,reverse,a relation of direct opposition,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,0,0,5.5,1.21,474,5.8,2.17,3.26,0.115593416,0.09600410362
guided,reverse,the gears by which the motion of a machine can be reversed,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,1,1,1,5.25,1.44,424,5.82,3.74,2.99,0.3053586911,0.2541272305
guided,reverse,an unfortunate happening that hinders or impedes; something that is thwarting or frustrating,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,0,0,3.9,1.34,532.12,3.51,1.91,3.41,0.09839790567,0.164088378
guided,reverse,the side of a coin or medal that does not bear the principal design,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,1,1,5.8,0.78,500.5,4.59,4.18,2.66,0.09683959085,0.08938061291
guided,reverse,(American football) a running play in which a back running in one direction hands the ball to a back running in the opposite direction,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,1,1,6.6,2.17,466.44,4.76,3.88,4.02,0.1656383353,0.1612363754
guided,reverse,turning in the opposite direction,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,0,1,6.25,1.39,508.33,5.67,2.59,3.16,0.376420478,0.2309218943
